user_id;registration_date;payment_date;revenue;payment_service_id;payment_provider;place;country;product_id
114416205;05.11.2017 19:57;12.11.2017 21:57;12727;147;Деньги от Google Play;TrialVipPopup;FR;com.topface.topface.sub.trial.vip.month.10.v2
114048688;14.10.2017 12:46;23.10.2017 12:54;14586;147;Деньги от Google Play;TrialVipPopup;IL;com.topface.topface.sub.trial.vip.month.13
114248470;26.10.2017 22:27;12.11.2017 20:59;1911;19;Деньги от PaymentWall (mobile);none;IT;com.topface.topface.buy.sms.coins.30
114400123;05.11.2017 2:37;06.11.2017 19:15;1456;127;Деньги от Ninja;sympathy_access;IT;
114119977;18.10.2017 18:30;12.11.2017 12:03;1261;19;Деньги от Payment Ninja;EmptyLikes;FR;pn.coins.6.1
114282013;29.10.2017 2:50;05.11.2017 7:15;4602;146;Деньги от Google Play;EmptyLikes;US;com.topface.topface.sub.coins.month.40.5
114077995;16.10.2017 1:38;16.10.2017 2:08;12610;19;Деньги от Payment Ninja;Gifts;IT;pn.coins.100.10
114119977;18.10.2017 18:30;29.10.2017 3:20;3783;67;Деньги от Payment Ninja;EmptyLikes;FR;pn.likes.100.3
114062498;15.10.2017 9:02;23.10.2017 13:27;13403;147;Деньги от Google Play;TrialVipPopup;AU;com.topface.topface.sub.trial.vip.month.13
114276051;28.10.2017 18:50;14.11.2017 1:20;6305;19;Деньги от Payment Ninja;EmptyLikes;US;pn.coins.40.5
114119045;18.10.2017 17:18;25.10.2017 19:29;9971;147;Деньги от Google Play;TrialVipPopup;CL;com.topface.topface.sub.trial.vip.month.10.v2
114283844;29.10.2017 6:55;29.10.2017 23:17;4914;147;Деньги от Google Play;Dating;IN;com.topface.topface.sub.vip.month.5
114258479;27.10.2017 15:37;27.10.2017 15:48;1313;19;Деньги от PaymentWall (mobile);none;AU;com.topface.topface.buy.sms.coins.8
114077995;16.10.2017 1:38;16.10.2017 1:44;3783;67;Деньги от Payment Ninja;Menu;IT;pn.likes.100.3
114096671;17.10.2017 3:36;10.11.2017 15:23;897;19;Деньги от Google Play;EmptyLikes;US;com.topface.topface.coins.6.1
114478943;09.11.2017 7:04;09.11.2017 23:38;6292;147;Деньги от Payment Ninja;LeftMenu;CL;pn..sub.vip.month.5
114054222;14.10.2017 19:57;17.10.2017 19:05;1261;19;Деньги от Payment Ninja;EmptyLikes;IL;pn.coins.6.1
114437929;06.11.2017 19:19;10.11.2017 20:48;1261;19;Деньги от Payment Ninja;EmptyLikes;AE;pn.coins.6.1
114477416;09.11.2017 3:14;10.11.2017 17:55;481;19;Деньги от PaymentWall (mobile);none;CL;com.topface.topface.buy.sms.coins.8
114415689;05.11.2017 19:37;12.11.2017 18:52;6305;19;Деньги от Payment Ninja;autorefill;US;pn.coins.40.5
114067210;15.10.2017 15:04;09.11.2017 20:06;6305;19;Деньги от Payment Ninja;autorefill;GB;pn.coins.40.5
114286943;29.10.2017 10:54;04.11.2017 0:30;1261;19;Деньги от Payment Ninja;EmptyLikes;AR;pn.coins.6.1
114400800;05.11.2017 3:55;06.11.2017 0:28;1261;19;Деньги от Payment Ninja;EmptyLikes;US;pn.coins.6.1
114286943;29.10.2017 10:54;10.11.2017 0:04;1261;19;Деньги от Payment Ninja;autorefill;AR;pn.coins.6.1
114119977;18.10.2017 18:30;01.11.2017 4:39;1261;19;Деньги от Payment Ninja;EmptyLikes;FR;pn.coins.6.1
114475168;08.11.2017 23:02;08.11.2017 23:38;4680;147;Деньги от Google Play;LeftMenu;CH;com.topface.topface.sub.vip.month.5
114276051;28.10.2017 18:50;12.11.2017 3:25;3783;67;Деньги от Payment Ninja;Menu;US;pn.likes.100.3
114210220;24.10.2017 14:17;25.10.2017 14:28;6305;19;Деньги от Payment Ninja;EmptyLikes;CA;pn.coins.40.5
114077995;16.10.2017 1:38;16.10.2017 1:57;3783;67;Деньги от Payment Ninja;EmptyAdmirations;IT;pn.likes.100.3
114099521;17.10.2017 10:09;24.10.2017 12:10;9789;147;Деньги от Google Play;TrialVipPopup;US;com.topface.topface.sub.trial.vip.month.13
114048871;14.10.2017 13:05;15.10.2017 13:11;47723;147;Деньги от Google Play;promo.key31;US;com.topface.topface.sub.vip.year.50
114400123;05.11.2017 2:37;10.11.2017 1:52;1469;19;Деньги от Ninja;sympathy_access;IT;
114298698;29.10.2017 22:06;06.11.2017 0:06;9854;147;Деньги от Google Play;TrialVipPopup;CA;com.topface.topface.sub.trial.vip.month.10.v2
114400123;05.11.2017 2:37;10.11.2017 1:52;1469;19;Деньги от Ninja;coinsPopupFrom51-1;IT;
114478943;09.11.2017 7:04;10.11.2017 8:55;3783;67;Деньги от Payment Ninja;Menu;CL;pn.likes.100.3
114119977;18.10.2017 18:30;22.10.2017 4:49;1261;19;Деньги от Payment Ninja;EmptyLikes;FR;pn.coins.6.1
114491856;09.11.2017 22:48;10.11.2017 1:18;5278;147;Деньги от Google Play;AutoReplyMessage;AR;com.topface.topface.sub.vip.month.5
114067210;15.10.2017 15:04;31.10.2017 23:37;6305;19;Деньги от Payment Ninja;autorefill;GB;pn.coins.40.5
114205967;24.10.2017 6:54;31.10.2017 8:54;9087;147;Деньги от Google Play;TrialVipPopup;US;com.topface.topface.sub.trial.vip.month.10.v2
114479242;09.11.2017 7:37;10.11.2017 12:27;2730;67;Деньги от Google Play;EmptyLikes;US;com.topface.topface.likes.100.3
114446380;07.11.2017 5:28;14.11.2017 7:39;13273;147;Деньги от Google Play;AutoReplyMessage;CL;com.topface.topface.sub.trial.vip.month.13
114400907;05.11.2017 4:09;12.11.2017 6:09;9490;147;Деньги от Google Play;TrialVipPopup;CH;com.topface.topface.sub.trial.vip.month.10.v2
114058257;15.10.2017 0:34;21.10.2017 13:10;1807;68;Деньги от PaymentWall (mobile);none;IT;com.topface.topface.buy.sms.vip.day.10
114077995;16.10.2017 1:38;16.10.2017 1:58;3783;67;Деньги от Payment Ninja;EmptyAdmirations;IT;pn.likes.100.3
114447350;07.11.2017 7:18;07.11.2017 8:16;3588;68;Деньги от PaymentWall (mobile);none;AU;com.topface.topface.buy.sms.vip.day.10
114415689;05.11.2017 19:37;05.11.2017 19:42;6292;147;Деньги от Payment Ninja;AutoReplyMessage;US;pn..sub.vip.month.5
114297175;29.10.2017 20:43;29.10.2017 20:59;2717;68;Деньги от PaymentWall (mobile);none;FR;com.topface.topface.buy.sms.vip.day.10
114077995;16.10.2017 1:38;16.10.2017 1:44;3783;67;Деньги от Payment Ninja;Menu;IT;pn.likes.100.3
114403571;05.11.2017 9:04;12.11.2017 11:05;9087;147;Деньги от Google Play;TrialVipPopup;CA;com.topface.topface.sub.trial.vip.month.10.v2
114077995;16.10.2017 1:38;16.10.2017 1:42;3783;67;Деньги от Payment Ninja;Menu;IT;pn.likes.100.3
114291379;29.10.2017 15:24;31.10.2017 11:25;1625;67;Деньги от Google Play;EmptyLikes;TR;com.topface.topface.likes.100.3
114286943;29.10.2017 10:54;07.11.2017 23:53;1261;19;Деньги от Payment Ninja;Menu;AR;pn.coins.6.1
114436241;06.11.2017 17:48;07.11.2017 11:59;3900;146;Деньги от Google Play;EmptyLikes;US;com.topface.topface.sub.coins.month.40.5
114400123;05.11.2017 2:37;06.11.2017 17:43;1456;19;Деньги от Ninja;sympathy_access;IT;
114239126;26.10.2017 10:34;02.11.2017 13:43;5577;147;Деньги от Google Play;TrialVipPopup;PT;com.topface.topface.sub.trial.vip.month.10.v2
114286943;29.10.2017 10:54;11.11.2017 1:30;1261;19;Деньги от Payment Ninja;Menu;AR;pn.coins.6.1
114422698;06.11.2017 0:54;09.11.2017 5:20;728;146;Деньги от Google Play;EmptyLikes;DE;com.topface.topface.sub.coins.month.6.1
114074313;15.10.2017 21:37;15.10.2017 21:40;3614;147;Деньги от Google Play;AutoReplyMessage;TR;com.topface.topface.sub.vip.month.5
114119977;18.10.2017 18:30;27.10.2017 10:37;6292;147;Деньги от Payment Ninja;promo.key31;FR;pn..sub.vip.month.5
114291379;29.10.2017 15:24;04.11.2017 20:45;5304;19;Деньги от Google Play;EmptyLikes;TR;com.topface.topface.coins.100.10
114479242;09.11.2017 7:37;10.11.2017 12:28;4602;146;Деньги от Google Play;EmptyLikes;US;com.topface.topface.sub.coins.month.40.5
114232368;25.10.2017 22:08;04.11.2017 16:19;1261;19;Деньги от Payment Ninja;Fans;IT;pn.coins.6.1
114415689;05.11.2017 19:37;10.11.2017 17:52;3783;67;Деньги от Payment Ninja;EmptyLikes;US;pn.likes.100.3
114077995;16.10.2017 1:38;16.10.2017 22:35;31525;19;Деньги от Payment Ninja;Menu;IT;pn.coins.300.25
114482307;09.11.2017 12:24;09.11.2017 12:40;6292;147;Деньги от Payment Ninja;AutoReplyMessage;FR;pn..sub.vip.month.5
91210310;19.01.2015 11:49;14.12.2016 17:30;26;0;Деньги от FB;REFUND Деньги от FB;RU;
114248470;26.10.2017 22:27;01.11.2017 16:50;1898;19;Деньги от PaymentWall (mobile);none;IT;com.topface.topface.buy.sms.coins.30
114249497;26.10.2017 23:46;11.11.2017 15:25;6357;147;Деньги от Google Play;AutoReplyMessage;ES;com.topface.topface.sub.vip.month.5
114425015;06.11.2017 3:51;06.11.2017 3:59;1898;68;Деньги от PaymentWall (mobile);none;IT;com.topface.topface.buy.sms.vip.day.10
114410869;05.11.2017 16:08;12.11.2017 18:21;10023;147;Деньги от Google Play;TrialVipPopup;AR;com.topface.topface.sub.trial.vip.month.10.v2
114383961;04.11.2017 8:30;04.11.2017 8:52;3133;68;Деньги от PaymentWall (mobile);none;FR;com.topface.topface.buy.sms.vip.day.10
114276051;28.10.2017 18:50;12.11.2017 3:25;1261;19;Деньги от Payment Ninja;Menu;US;pn.coins.6.1
114143714;20.10.2017 10:32;06.11.2017 10:54;2821;19;Деньги от PaymentWall (mobile);none;FR;com.topface.topface.buy.sms.coins.30
114232368;25.10.2017 22:08;04.11.2017 17:12;1261;19;Деньги от Payment Ninja;autorefill;IT;pn.coins.6.1
114342834;01.11.2017 15:50;09.11.2017 0:21;12857;147;Деньги от Google Play;TrialVipPopup;IT;com.topface.topface.sub.trial.vip.month.10.v2
114423769;06.11.2017 2:02;11.11.2017 8:29;3783;67;Деньги от Payment Ninja;EmptyLikes;US;pn.likes.100.3
114077995;16.10.2017 1:38;16.10.2017 18:42;31525;19;Деньги от Payment Ninja;Fans;IT;pn.coins.300.25
114092595;16.10.2017 22:03;10.11.2017 17:18;1261;19;Деньги от Payment Ninja;EmptyLikes;US;pn.coins.6.1
114166112;21.10.2017 19:11;30.10.2017 10:16;6305;19;Деньги от Payment Ninja;autorefill;GB;pn.coins.40.5
114096671;17.10.2017 3:36;10.11.2017 15:22;897;146;Деньги от Google Play;EmptyLikes;US;com.topface.topface.sub.coins.month.6.1
114166112;21.10.2017 19:11;26.10.2017 10:52;6305;19;Деньги от Payment Ninja;EmptyLikes;GB;pn.coins.40.5
114196830;23.10.2017 17:05;30.10.2017 19:05;17199;147;Деньги от Google Play;TrialVipPopup;US;com.topface.topface.sub.trial.vip.month.13
114154999;21.10.2017 2:51;31.10.2017 20:56;6305;19;Деньги от Payment Ninja;autorefill;US;pn.coins.40.5
114168723;21.10.2017 21:48;23.10.2017 15:12;2340;67;Деньги от Google Play;EmptyLikes;ES;com.topface.topface.likes.100.3
114067210;15.10.2017 15:04;15.10.2017 15:49;6292;147;Деньги от Payment Ninja;LeftMenu;GB;pn..sub.vip.month.5
114479242;09.11.2017 7:37;13.11.2017 3:53;4537;147;Деньги от Google Play;AutoReplyMessage;US;com.topface.topface.sub.vip.month.5
114379348;03.11.2017 23:18;11.11.2017 1:19;14352;147;Деньги от Google Play;TrialVipPopup;IL;com.topface.topface.sub.trial.vip.month.13
114228849;25.10.2017 17:58;01.11.2017 21:08;12727;147;Деньги от Google Play;Dating;US;com.topface.topface.sub.trial.vip.month.13
114077995;16.10.2017 1:38;16.10.2017 1:58;3783;67;Деньги от Payment Ninja;EmptyAdmirations;IT;pn.likes.100.3
114168723;21.10.2017 21:48;25.10.2017 13:20;741;146;Деньги от Google Play;EmptyLikes;ES;com.topface.topface.sub.coins.month.6.1
114085879;16.10.2017 14:50;02.11.2017 20:58;6292;147;Деньги от Payment Ninja;LeftMenu;IL;pn..sub.vip.month.5
